FID,CT_Tag_ID,Date_Ptd,Cultivar,SciName,CmmnName,DBH,Program,EventORAdd,Impervious,DBH1,DBH2,DBH3,DBH4,TotalHeigh,Width_NS,Width_EW,PercentMis,CrownCondi,TreeStruct,SpaceType1,CrownBase,Jurisdicti,SpaceTypeD,Cond_18,SpaceType,Condition,DDOE,PTG_Notes,Cond_12,Genus,Species,StockType,Class_Code,Mntc_Condn,Season,Nursery,Condit_13,POINT_X,POINT_Y,Cond_17,Cond_16,Cond_15,Cond_14,db_jdx,db_year,db_Season,db_removed,db_SpaceTy,db_Prog,db_StockT,db_ClassCo,db_Nursery,db_Genus,db_Species,db_mtc,db_pltdbh,isAlive,Death_Yr,Death_Age,Age,Cond_Agg
2025,REB1001183,11/1/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,3018 Warden St NW,1-10%,2.9,2.5,2.9,2.4,12,12,10,1-10%,5,4,Front Yard,4,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.01960274,38.92906223,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2026,REB1001270,12/30/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,1614 Allison ST NW, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-77.03789562,38.94482458,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2027,REB1001031,8/18/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,725 Ingraham ST NW,1-10%,2.2,2,2.5,2.2,13,11,12,1-10%,4,4,Front Yard,4,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.02341099,38.95429202,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2028,REB1001121,10/12/10 0:00, ,Lagerstroemia indica,Crape Myrtle,2.8,REBATE,3111 Military Rd NW,11-20%,0,0,0,0,9,13,11,1-10%,5,4,Front Yard,4,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.06280626,38.96116314,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2029,REB1000962,7/6/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,6229 Utah Ave. NW,31-40%,2.8,3.5,3.2,4.1,27,22,22,1-10%,4,4,Front Yard,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.0636953,38.97238032,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2030,REB1001122,10/12/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,234 9th ST NE, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-76.99418711,38.89296056,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2031,REB1001117,10/5/10 0:00, ,Lagerstroemia indica,Crape Myrtle,2,REBATE,3728 Veazey ST NW,0%,0,0,0,0,12,14,12,11-20%,4,4,Back Yard,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.07378982,38.94365509,Good,Good, ,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2032,REB1001226,11/11/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,1714 Independence Ave SE,31-40%,2.6,2.5,2.7,2.3,14,17,15,21-30%,4,4,Front Yard,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.98024267,38.88768137,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2033,REB1000976,7/10/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,3051 Oliver ST NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.05939957,38.96727478,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2034,REB1001053,9/2/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,1457 S ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.0341743,38.91442705,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2035,REB1001054,9/2/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,1457 S ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.03419453,38.91445405,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2036,REB1001055,9/2/10 0:00, ,Lagerstroemia indica,Crape Myrtle,0,REBATE,1457 S ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.03419643,38.91442558,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2037,REB1001241,11/18/10 0:00, ,Cryptomeria japonica,"Cryptomeria, Japanese",0,REBATE,4409 Dexter ST NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.08703482,38.92490095,Left Card,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2038,REB1001123,10/12/10 0:00, ,Chamaecyparis obtusa,"Cypress, Atlantic White",0,REBATE,402 Independence Ave SE, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Good,-77.00031582,38.88784369,Left Card,Left Card, ,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2039,REB1001169,10/27/10 0:00, ,Chamaecyparis obtusa,"Cypress, Atlantic White",0,REBATE,6105 32nd ST NW, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-77.0637417,38.97030713,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2040,REB1001232,11/16/10 0:00, ,Cupressus leylandii,"Cyprus, Leland",0,REBATE,3673 Upton St NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-77.07153099,38.94250554,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2041,REB1001261,12/7/10 0:00, ,Cornus florida,"Dogwood, Flowering",0,REBATE,253 15th ST SE, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-76.98398733,38.88565293,Left Card,Left Card,Dead,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,0,2015,5,5,Left Card
2042,REB1001104,9/27/10 0:00, ,Ilex x aquipernyi,Dragon Lady Holly,0,REBATE,6121 32nd ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.06342454,38.97075127,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2043,REB1001060,9/8/10 0:00, ,Juniperus virginiana,Eastern Red Cedar,0,REBATE,3001 10th ST NE, ,0,0,0,0,0,0,0, , , ,Planting Strip,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Poor,-76.99232367,38.92765553,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2044,REB1001235,11/16/10 0:00, ,Juniperus virginiana,Eastern Red Cedar,0,REBATE,623 Quintana PL NW,0%,0,0,0,0,0,0,0, , , ,Side Yard,0,Residential - Rebate, ,Missing, , , , , , , , , , , ,Rebate,Good,-77.02234794,38.96450817,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Missing
2045,REB1001066,9/12/10 0:00, ,Ficus carica,Fig,2.6,REBATE,3004 17th ST NE,0%,0,0,0,0,12,10,8,1-10%,5,4,Side Yard,3,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.98104124,38.92858258,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2046,REB1001186,11/1/10 0:00, ,Ficus carica,Fig Tree,0,REBATE,1530 T Street NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.03569171,38.91519446,Good,Left Card,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2047,REB1000965,7/6/10 0:00, ,Cornus florida,Flowering Dogwood,0,REBATE,6229 Utah Ave. NW, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate, ,-77.0636296,38.97234712,Missing,Poor,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2048,REB1001012,8/3/10 0:00, ,Cornus florida,Flowering Dogwood,0,REBATE,3226 N ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-77.06422016,38.90653292,Left Card,Good, ,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2049,REB1001222,11/8/10 0:00, ,Cornus kousa,Flowering Dogwood,3,REBATE,1000 Hamilton ST NE,0%,0,0,0,0,12,12,10,1-10%,4,4,Back Yard,2,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.99313937,38.95479411,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2050,REB1000968,7/6/10 0:00, ,Cornus florida,Flowering Dogwood,0,REBATE,745 12th ST SE, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.99036029,38.87976345,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2051,REB1001225,11/9/10 0:00, ,Ilex opaca,"Holly, American",0,REBATE,4360 Van Ness ST NW, ,0,0,0,0,0,0,0, , , ,Side Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.08608535,38.94297472,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2052,REB1000986,7/16/10 0:00, ,Larix kaempferi,Japanese Larch,0,REBATE,4611 29th PL NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-77.06007362,38.95081076,Missing,Good,Good,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2053,REB1000959,7/3/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,1326 Massachusetts Ave SE, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Unvisited,-76.98727213,38.88905653,Left Card,Left Card,Missing,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2054,REB1000969,7/6/10 0:00, ,Acer palmatum,Japanese Maple,2.6,REBATE,746 9th ST SE,1-10%,0,0,0,0,5,7,6,1-10%,4,4,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.99363272,38.87990524,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2055,REB1001036,8/20/10 0:00, ,Acer palmatum,Japanese Maple,5,REBATE,6646 Barnaby ST NW,1-10%,0,0,0,0,15,16,15,1-10%,5,4,Front Yard,2,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.0604746,38.97719336,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2056,REB1001033,8/19/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,505 11th ST SE, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-76.99190641,38.88242754,Left Card,Left Card,Good,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2057,REB1001029,8/11/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,4400 Illinois Ave NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Unvisited,-77.02046129,38.94424925,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2058,REB1001136,10/13/10 0:00, ,Acer palmatum,Japanese Maple,3.2,REBATE,1432 Madison ST NW,1-10%,0,0,0,0,4,7,8,1-10%,5,4,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.03535671,38.9582365,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2059,REB1000970,7/6/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,4311 Albemarle ST NW, ,0,0,0,0,0,0,0, , , ,Side Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.08459335,38.9480218,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2060,REB1001244,11/18/10 0:00, ,Acer palmatum,Japanese Maple,3.4,REBATE,5751 Sherrier PL NW,1-10%,0,0,0,0,10,12,12,1-10%,4,4,Planting Strip,1,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.11143694,38.93381476,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2061,REB1001063,9/10/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,4117 Fessenden ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Unvisited,-77.081459,38.95511365,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2062,REB1000983,7/12/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,1228 Orren ST NE, ,0,0,0,0,0,0,0, , , ,Side Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.98554424,38.90293112,Good,Left Card,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2063,REB1001097,9/22/10 0:00, ,Acer palmatum,Japanese Maple,0,REBATE,4455 Springdale ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-77.08708814,38.94174789,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2064,REB1001149,10/18/10 0:00, ,Acer palmatum,Japanese Maple,4.5,REBATE,4850 Reservoir RD NW,0%,3.1,0,0,0,4,4,5,0%,3,3,Front Yard,1,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.0968058,38.91611991,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2065,REB1001246,11/20/10 0:00, ,Juniper spp,Juniper,5.3,REBATE,3019 Daniel Lane NW,11-20%,0,0,0,0,5,5,4,1-10%,4,2,Side Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.05330101,38.98173731,Good,Good,Missing,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2066,REB1001252,11/29/10 0:00, ,Syringa vulgaris,Lilac,0,REBATE,908 C ST NE, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-76.99323666,38.89365263,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2067,REB1001219,11/7/10 0:00, ,Magnolia grandiflora,"Magnolia, Southern",1.7,REBATE,5359 Ames ST NE,0%,4,2.9,0,0,11,7,8,11-20%,4,3,Front Yard,1,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Good,-76.92362102,38.8906475,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2068,REB1001052,9/1/10 0:00, ,Magnolia grandiflora,"Magnolia, Southern",3.4,REBATE,6415 8th ST NW,21-30%,0,0,0,0,16,13,11,11-20%,4,4,Front Yard,1,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.02411042,38.96781327,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2069,REB1001004,7/30/10 0:00, ,Magnolia grandiflora,"Magnolia, Southern",4,REBATE,4421 17th ST NW,11-20%,0,0,0,0,12,7,7,51-60%,3,3,Back Yard,4,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.0383447,38.94479385,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2070,REB1001005,7/31/10 0:00, ,Magnolia virginiana,"Magnolia, Sweetbay",0,REBATE,420 Whittier ST NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-77.01875285,38.97088727,Left Card,Left Card,Good,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2071,REB1001110,9/30/10 0:00, ,Magnolia virginiana,"Magnolia, Sweetbay",2.2,REBATE,3719 Livingston St NW,0%,2.3,2,0,0,23,21,17,1-10%,4,4,Side Yard,3,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.07303446,38.96335838,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2072,REB1001111,9/30/10 0:00, ,Magnolia virginiana,"Magnolia, Sweetbay",3.5,REBATE,3719 Livingston St NW,0%,0,0,0,0,22,20,24,11-20%,4,4,Side Yard,3,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.07304558,38.96341026,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2073,REB1001126,10/12/10 0:00, ,Acer rubrum,"Maple, Red",4.5,REBATE,2716 O ST NW,51-60%,0,0,0,0,16,15,13,11-20%,4,4,Planting Strip,4,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.05645049,38.90844273,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2074,REB1001127,10/12/10 0:00, ,Acer saccharum,"Maple, Sugar",0,REBATE,3111 Military Rd NW, ,0,0,0,0,0,0,0, ,4,4,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.06285113,38.96139106,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2075,REB1001237,11/16/10 0:00, ,Acer rubrum,"Maple, red",6.3,REBATE,3673 Upton St NW,1-10%,0,0,0,0,18,14,14,11-20%,4,4,Back Yard,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Alive,-77.07161844,38.94254261,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2076,REB1001258,12/4/10 0:00, ,Quercus palustris,"Oak, Pin",9.1,REBATE,2330 Wyoming Ave NW,41-50%,0,0,0,0,24,20,21,11-20%,4,4,Planting Strip,7,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.05183142,38.91688948,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2077,REB1001259,12/4/10 0:00, ,Quercus palustris,"Oak, Pin",8.8,REBATE,2330 Wyoming Ave NW,41-50%,0,0,0,0,26,22,20,11-20%,4,4,Planting Strip,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.05194529,38.91688928,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2078,REB1001078,9/15/10 0:00, ,Acer griseum,Paperbark Maple,0,REBATE,927 S Street NW, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-77.02504204,38.91435986,Left Card,Left Card,Good,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2079,REB1001139,10/14/10 0:00, ,Pyrus communis,"Pear, Common",0,REBATE,312 D ST NE, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.00146855,38.89486617,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2080,REB1001069,9/12/10 0:00, ,Prunus cerasifera,"Plum, Purple Leaf",0,REBATE,3004 17th ST NE, ,1.4,1.2,0,0,8,11,7,1-10%,4,4,Side Yard,1,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.98099508,38.92858155,Missing,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2081,REB1001090,9/20/10 0:00, ,Cercis canadensis,Redbud,6.3,REBATE,4300 Albemarle ST NW,0%,0,0,0,0,11,18,24,1-10%,5,4,Front Yard,6,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Good,-77.08401483,38.94776178,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2082,REB1000996,7/23/10 0:00, ,Cercis canadensis,Redbud,0,REBATE,1458 Fuller ST NW, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Good,-77.03494654,38.92472839,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2083,REB1001269,12/23/10 0:00, ,Cercis canadensis,Redbud,2,REBATE,1515 Q ST NW,31-40%,0,0,0,0,11,8,8,21-30%,4,4, ,0,Residential - Rebate, ,Missing, , , , , , , , , , , ,Rebate,Excellent,-77.03531939,38.91118285,Missing,Left Card,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,0,2017,7,7,Missing
2084,REB1001198,11/1/10 0:00, ,Betula nigra,Riverbirch,0,REBATE,1002 D ST SE,61-70%,3.8,4.8,4.3,0,21,16,22,11-20%,4,4,Planting Strip,8,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.9923591,38.884182,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2085,REB1000973,7/9/10 0:00, ,Betula nigra,Riverbirch,0,REBATE,1521 C ST SE, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-76.98287854,38.88503943,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2086,REB1001167,10/26/10 0:00, ,Amelanchier grandiflora,Serviceberry,3.3,REBATE,439 S ST NW,21-30%,3,2.9,0,0,11,14,13,1-10%,3,5,Front Yard,3,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.01846728,38.91417388,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2087,REB1001001,7/29/10 0:00, ,Picea,Spruce,0,REBATE,3304 20th ST NE, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Unvisited,-76.97659199,38.93157522,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2088,REB1001231,11/15/10 0:00, ,Picea glauca,"Spruce, Alberta",0,REBATE,2638 39th ST NW, ,0,0,0,0,0,0,0, , , ,Front Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.07839564,38.92448222,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2089,REB1001037,8/20/10 0:00, ,Stewartia japonicum,"Stewartia, Japanese",0,REBATE,6646 Barnaby ST NW,21-30%,1.8,2.4,1,0,11,8,8,1-10%,4,5,Side Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate, ,-77.06042028,38.97728406,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2090,REB1000987,7/16/10 0:00, ,Stewartia japonicum,"Stewartia, Japanese",5.6,REBATE,4611 29th PL NW,0%,0,0,0,0,11,20,17,11-20%,4,4,Front Yard,2,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-77.06034117,38.95083592,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2091,REB1001100,9/25/10 0:00, ,Stewartia japonicum,"Stewartia, Japanese",0,REBATE,1720Massachusetts Ave SE, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Unvisited,-76.97981575,38.88603145,Good,Left Card,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
2092,REB1001263,12/7/10 0:00, ,Styrax japonicus,"Styrax, Japanese",0,REBATE,1526 D ST SE, ,0,0,0,0,0,0,0, , , , ,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Unvisited,-76.98281876,38.88438797,Good,Left Card,Good,NA,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2093,REB1001073,9/13/10 0:00, ,Styrax japonicus,"Styrax, Japanese",0,REBATE,3418 Porter ST NW, ,0,0,0,0,0,0,0, , , ,Back Yard,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Alive,-77.06713617,38.93687959,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2094,REB1001217,11/5/10 0:00, ,Styrax japonicus,"Styrax, Japanese",0,REBATE,3407 Quebec ST NW, ,0,0,0,0,0,0,0, , , ,Maintained Land,0,Residential - Rebate, ,Left Card, , , , , , , , , , , ,Rebate,Excellent,-77.06695244,38.93824293,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Left Card
2095,REB1001208,11/1/10 0:00, ,Quercus phellos,Willow oak,6.4,REBATE,1002 D ST SE,51-60%,0,0,0,0,18,15,16,1-10%,5,4,Planting Strip,7,Residential - Rebate, ,Good, , , , , , , , , , , ,Rebate,Excellent,-76.99241386,38.88419227,Good,Good,Good,Good,RESIDENTIAL,2010, , , , , ,0, , , , ,0,1,0,0,9,Good
